,userId,restaurantId,rating,user,restaurant
4729207,PXe-x5SAMzAEn8EOBCVgeA,YKImxc9VimLbDl2sQN1BBQ,1,912,22346
3393794,aQJtyvmZg3kCd-tfZ6PLeg,HykZIiaHS35N2c5_QHoClA,4,637,14701
2921430,tH0uKD-vNwMoEc3Xk3Cbdg,KjOpQ4QCf-sk_dbFJX_52w,4,533,16853
2769666,prVZz8h0eWBrkbGY-5jURw,k6P5oGTqUFQLBDRWqymtig,5,523,16159
3389031,Jv1N4dr8Auo5PtssZZF5jA,xaFzCJe82C4N7t4zeCo3hA,4,616,19611
1790352,Ue_7yUlkEbX4AhnYdUfL7g,Xck2KzJcZDJGMtwxMwD71w,2,345,11132
4702876,gVmUR8rqUFdbSeZbsg6z_w,8Ivagy4hMgx7hHdY_QJ_hA,1,908,25263
290392,1DsuFRjdW0gDA23Xswzoqg,_n3w5BK4-k7iXCWifCjUZg,4,57,1440
3252354,RBZ_kMjowV0t6_nv2UKaDQ,GJVF0797Y2fVkMZFQFM8Rg,5,599,18538
3645733,9w-cC26Oe48rdzN1mh13sg,je9J7GGkFhEbYZKgNn0ljA,5,703,21133
917278,ip4ff-tkdvyOlsDJ7GdebA,OOHlm2lbVgPHhSe98YW3yA,3,182,6332
44564,tPHu4gynosKF7DR70uM9qQ,zYe-5RaSFeR9lOqdvW6tbw,5,8,495
3934215,QkNuVpkhV_wTApylrKOMDg,vk-H15Ags7RQo0HiohTUfw,4,758,22293
3186221,Pvc7EaGGTsi4eJGUTp8I9A,1UILKXaF_iSDxjDZ4rBczA,4,608,5302
202285,iN7T3vQoC3v_MPs2TzH5Zw,4KGTPxWJ9-62_bdYMMTFvQ,4,38,1182
1237080,ty3qLWWbhVmjljy7Hrk5hg,FkUcjHK7oQJIvZtUGjDxMQ,5,247,8177
4231158,Ga9DnmdmhE0Zzs_jRtmrfA,ACwIzKQ81CYgzMYEnV8-fg,3,819,23624
5071865,hvs6n04dKZheWJVzhB7TDg,0NAZOnbTPw4Rpn9_8BncMA,4,954,27030
3265602,snOEFsP64IOuQ9Ll8_JrAg,JdtJ3jmMukLXU-gDjVTEgg,5,598,1359
3449024,1fNQRju9gmoCEvbPQBSo7w,8vXuS7T_TZGNJk9MAdV__g,3,561,7938
3415886,0ygWZ_gXF8qTm0bY95JJqA,XOKeMAuRsVkZARAnv2k7Aw,1,620,19881
1822517,#NAME?,jCzrbfboRc3D-9_Gr0Wm9w,3,353,5547
4093578,MMf0LhEk5tGa1LvN7zcDnA,mBeZ3dQzUPV60Oa26k3qHw,5,715,6954
3309581,YvYr6FhVnzGEP7WVYoWUJw,mygLP5-SCnQwIev6LU9gWg,5,622,19126
3112993,#NAME?,xwmwTpzw9XSwK-UT5Ka3HQ,3,572,4839
2043674,o68A_3bAJTge-ioGXHdxKA,jWv5GUtEp30OD5L5C8c2DQ,3,350,10304
1697885,TbhyP24zYZqZ2VJZgu1wrg,JA-O7eaQ_Mkuzu4ctzEzfg,4,153,10589
3932885,QkNuVpkhV_wTApylrKOMDg,WQJk1xlrRW1_PTpItQ_AAA,3,758,2407
564055,NT0qlEWAzKPdpwKjhfXKOA,ZW-2-SYs2bk0dl-y-kPULQ,2,102,4619
4620778,bpgbVPJcG-wQ4cNBcPPIxw,g8oxQ1Ji9mr9PMjhEfaWSg,4,892,12575
4732172,8QZKBR5Ss9AHUeuHI13WCg,K7lWdNUhCbcnEvI0NhGewg,2,914,4148
4251007,MMf0LhEk5tGa1LvN7zcDnA,NhkSBVWOyf6r60zqURDNqA,5,715,2968
3798150,noY3yU_h40qeo-hkXGb4CA,AV6weBrZFFBfRGCbcRGO4g,1,744,3952
3901436,jrqE4Jx-boDAxj4X7CLStQ,QaMb5uqUmC4Zm4aNVzM8kQ,4,741,21722
1112274,oigPots1DGB1tRxb8H-xaA,7xA6iSP0Ndn08tpBFQtUKA,2,223,7310
5155734,#NAME?,ygaOvp0PLBYaYeN9cZAlGg,5,982,11396
3553533,pMefTWo6gMdx8WhYSA2u3w,zNGLNo_ldi12wgjMJiB8_w,3,557,20614
5047347,Bf-X9oxiiRvzgrwguUWoeg,8iKrvvY-GqNrh2UOjor-Iw,2,963,26892
916693,yCaDISH0R8e5U376zDWTpQ,Oi-u4KqrcZbIWSYKnh7mJA,4,181,2086
833766,OzNz8Gkc-LBxwH7wsXYnZw,mJJ8TSciSt-UXWsq6tfEXg,5,161,5866
476568,gwIqbXEXijQNgdESVc07hg,zGWHKfEWI98YuFhIJO9Ctw,3,94,3985
1625564,hq5en1N5_OKK3Wx6RU2MTw,7Q6ONVL9-iagmUkrI5JTFA,5,317,10311
2884835,v4fT6mIxgjho_CLR2wiXvg,v1DdKUcs-KxR3JV_vE8nMg,5,530,16679
4513784,N0qq4upibIRvLzE2SzVPtQ,1w9rJtp3hzkGHlBrU7fzkw,2,864,24548
4463001,bOM7sIuB_yjHm46shPacoQ,OrAc9grH4J8yawkwUEymMA,4,855,24426
3229415,YvYr6FhVnzGEP7WVYoWUJw,b207RNqIAhTd4JsRsnXB1Q,5,622,58
2269550,YRcaNlwQ6XXPFDXWtuMGdA,TM9Eani6kQmRV5RZaU7Tew,3,321,13623
2768060,PeLGa5vUR8_mcsn-fn42Jg,HCCg-rVnHQ2FI6lHs_LvUQ,4,413,2119
2601181,JoT5g6CXb8CBQ_QLmKnIRA,41qbd6aGiz2GWp7TI8HSEg,5,494,5812
263396,DlqdkcwoOUL-65TLLPFvcg,L_X5eAd4moE40AsX6Havhg,4,51,2202
4522917,N0qq4upibIRvLzE2SzVPtQ,VxrvGKfba7rBDNLjc-Wy3A,4,864,486
4623770,bpgbVPJcG-wQ4cNBcPPIxw,TGh_kZLkz-AJYIMPSVDfnA,4,892,20939
3445469,tH0uKD-vNwMoEc3Xk3Cbdg,gJd1jOcl5FdqY020Q19n6Q,4,533,19992
906081,5y_4KmkywV9DMSFyoTcYdA,iCpIIYTZSlNP6HKb7ubTpw,3,179,2767
916682,yCaDISH0R8e5U376zDWTpQ,xRlxQg13oVBhGKXyp3v_uA,4,181,6314
4983077,hvs6n04dKZheWJVzhB7TDg,f_R4-FMtQ2Dj6m8LNuse1w,4,954,23186
1357352,fOut10lknIp64tm3z6UTNg,sspdrxTyqt7ug3J0s4TqAQ,3,250,8719
3995154,oIxsWOWytMmV4bf_ffo01w,g-E12y45gBKedax5N20YmQ,4,755,13857
4154537,MMf0LhEk5tGa1LvN7zcDnA,wQTcrtB4U_v6Vbfr8EMQog,5,715,22978
724505,m7z-tX6XDZ27xGhGjnI21w,iMoFE2g4kDG4FfKLJvk3Jw,4,127,5411
1149130,DKdttAvXagfAfNFIKeApuw,mVomtOMgBxbGvdPSaF2HjQ,5,213,1664
5191489,#NAME?,HPLB1Tr8ZB5UkD-2umKPdA,5,982,2274
889489,z7mXAv0krra_-Qq3URr4cA,f316rUVOmOM2VidXN2KAvg,4,173,6120
2921450,tH0uKD-vNwMoEc3Xk3Cbdg,sv694ZNBZfoC18OL5eRVuw,4,533,13936
2668209,eICyvIE-ZaXqn9Z2vCVT3A,kd1VNJdd92T2eQ4hqvYQ5A,5,502,15603
5163102,yaWnpONXlvdXbi36aKcznw,c-uuAPbSpRGR0vPUHlRQRw,4,973,10196
4126981,oIxsWOWytMmV4bf_ffo01w,ljjBWO5u-frOjVC-6amy1w,4,755,22867
3329731,pMefTWo6gMdx8WhYSA2u3w,sGyxho4L87V465XySbBrIw,2,557,5428
1922343,cGJZ_Y_Mu7qrOaUSxNAlcw,Tb28Kt_k0Y35HvibPOBkAw,1,376,11994
2974136,TJNkg75ODHabE5GBfV5wRQ,wH1reSC1HnWIBh0eyLU1NA,3,525,2136
3258485,pMefTWo6gMdx8WhYSA2u3w,kZneT2DjppJiXnuecmh12g,3,557,18565
3258499,pMefTWo6gMdx8WhYSA2u3w,P0q4cXhHoHGHbZ3c2_c9DA,4,557,18575
780449,m7z-tX6XDZ27xGhGjnI21w,ZxrWn3v1ZVX9SC_ObbfpHQ,5,127,5616
2266612,PeLGa5vUR8_mcsn-fn42Jg,-4g68Hwm892_KPUuW5g1_Q,3,413,13526
3591908,Kgxvv4DFWimTD3DlBhjbmw,MgwhgGo313gLxZ_eM9izCg,5,691,20857
